finding_id,insured_id,policy_id,examining_agency,exam_date,severity_label,control_area,finding_text
FND-50000,INS-10016,POL-2021116,FDIC,2023-11-17,Medium,data loss prevention controls,An MRA has been issued related to data loss prevention controls. Examiners found that controls over encryption of data at rest are not commensurate with the institution's risk profile and complexity.
FND-50001,INS-10016,POL-2021116,FDIC,2023-11-10,High,data classification and handling,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in data classification and handling, including failure to periodic access recertification. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50002,INS-10016,POL-2021116,FDIC,2023-07-14,Low,identity and access management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in identity and access management, which management has committed to address by next examination cycle."
FND-50003,INS-10016,POL-2021116,FDIC,2022-08-17,Medium,logging and monitoring,An MRA has been issued related to logging and monitoring. Examiners found that controls over encryption of data at rest are not commensurate with the institution's risk profile and complexity.
FND-50004,INS-10268,POL-2021368,FDIC,2022-03-21,Low,identity and access management,Review of identity and access management found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50005,INS-10422,POL-2020422,CFPB,2018-10-14,Low,incident response capabilities,Review of incident response capabilities found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50006,INS-10422,POL-2020422,CFPB,2018-08-15,Low,business continuity planning,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in business continuity planning, which management has committed to address by next examination cycle."
FND-50007,INS-10422,POL-2020422,CFPB,2019-09-03,Low,incident response capabilities,The institution maintains adequate controls over incident response capabilities. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50008,INS-10413,POL-2020413,FDIC,2024-05-08,Low,vendor due diligence procedures,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in vendor due diligence procedures, which management has committed to address by next examination cycle."
FND-50009,INS-10451,POL-2020451,SEC,2022-07-12,Medium,cloud security governance,An MRA has been issued related to cloud security governance. Examiners found that controls over remediation of known critical vulnerabilities are not commensurate with the institution's risk profile and complexity.
FND-50010,INS-10861,POL-2020861,CFPB,2020-05-22,High,logging and monitoring,"The examination identified material weaknesses in the institution's logging and monitoring. Specifically, the institution has not adequately addressed prior examination findings regarding segregation of duties in critical systems. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50011,INS-10861,POL-2020861,CFPB,2020-11-11,Medium,identity and access management,An MRA has been issued related to identity and access management. Examiners found that controls over log retention and review are not commensurate with the institution's risk profile and complexity.
FND-50012,INS-10861,POL-2020861,CFPB,2021-04-29,Low,data loss prevention controls,The institution maintains adequate controls over data loss prevention controls. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50013,INS-11063,POL-2021063,OCC,2021-08-22,High,identity and access management,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in identity and access management, including failure to fourth-party risk assessment. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50014,INS-11063,POL-2021063,OCC,2020-11-02,Low,logging and monitoring,Review of logging and monitoring found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50015,INS-10741,POL-2020741,OCC,2022-05-13,Medium,identity and access management,"Examiners identified deficiencies in the institution's identity and access management. Specifically, the institution lacks documented procedures for remediation of known critical vulnerabilities. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50016,INS-10172,POL-2021272,SEC,2022-02-11,Medium,privileged access controls,An MRA has been issued related to privileged access controls. Examiners found that controls over segregation of duties in critical systems are not commensurate with the institution's risk profile and complexity.
