policy_id,insured_id,system_class,stated_rto_hours,stated_rpo_hours,revenue_dependency_pct,has_hot_dr_site,third_party_dependency,last_dr_test_date
POL-2020000,INS-10000,Trading/OMS,3.0,0.5,54.5,False,Multi-Vendor,2023-01-05
POL-2020000,INS-10000,Back-Office/ERP,28.2,14.1,3.4,True,Multi-Vendor,2024-07-22
POL-2020000,INS-10000,Market Data Infrastructure,3.2,1.1,18.5,False,None,2023-10-24
POL-2020000,INS-10000,Email & Productivity,29.3,18.8,4.0,True,None,2024-06-30
POL-2020000,INS-10000,Settlement & Clearing,2.9,0.7,30.4,True,Multi-Vendor,2023-11-03
POL-2020001,INS-10001,Core Banking Platform,6.2,1.1,34.8,True,Single Vendor,2024-12-14
POL-2020001,INS-10001,Back-Office/ERP,18.1,7.6,4.7,True,Multi-Vendor,2023-08-07
POL-2020001,INS-10001,Email & Productivity,42.8,15.9,3.2,False,Single Vendor,2024-06-06
POL-2020001,INS-10001,Payment Processing,7.3,1.1,34.8,True,Single Vendor,2023-10-29
POL-2020001,INS-10001,Customer Digital Channels,14.6,3.9,17.7,False,None,2024-09-11
POL-2020002,INS-10002,Core Banking Platform,7.9,2.0,27.3,True,Multi-Vendor,2023-03-23
POL-2020002,INS-10002,Back-Office/ERP,18.9,8.4,4.6,True,Multi-Vendor,2024-05-26
POL-2020002,INS-10002,Email & Productivity,30.6,18.1,4.0,True,None,2024-11-04
POL-2020002,INS-10002,Payment Processing,4.5,1.8,20.2,False,None,2024-08-14
POL-2020002,INS-10002,Customer Digital Channels,6.0,5.4,13.0,False,None,2023-09-13
POL-2020003,INS-10003,Core Banking Platform,4.8,1.9,27.8,False,None,2023-12-23
POL-2020003,INS-10003,Back-Office/ERP,38.8,8.7,3.2,True,None,2023-03-19
POL-2020003,INS-10003,Email & Productivity,34.2,21.4,2.8,False,None,2023-12-10
POL-2020003,INS-10003,Payment Processing,6.0,1.9,37.0,True,None,2024-02-25
POL-2020003,INS-10003,Customer Digital Channels,7.6,6.6,20.0,False,Single Vendor,2024-11-08
POL-2020004,INS-10004,Trading/OMS,3.3,0.7,31.6,True,None,2024-02-21
POL-2020004,INS-10004,Back-Office/ERP,34.6,10.7,5.1,False,Single Vendor,2023-12-12
POL-2020004,INS-10004,Market Data Infrastructure,3.7,1.9,14.4,True,Single Vendor,2023-06-29
POL-2020004,INS-10004,Email & Productivity,31.0,16.4,3.0,False,Single Vendor,2023-11-16
POL-2020004,INS-10004,Settlement & Clearing,7.7,1.5,20.5,False,None,2023-05-23
POL-2020005,INS-10005,Core Banking Platform,5.6,1.5,38.9,False,Single Vendor,2024-05-13
POL-2020005,INS-10005,Back-Office/ERP,35.1,7.4,3.1,False,None,2024-12-25
POL-2020005,INS-10005,Email & Productivity,27.3,15.1,1.9,False,Multi-Vendor,2024-09-03
POL-2020005,INS-10005,Payment Processing,7.0,1.1,39.9,False,Single Vendor,2024-06-17
POL-2020005,INS-10005,Customer Digital Channels,7.2,3.1,19.7,False,Single Vendor,2024-03-12
POL-2020006,INS-10006,Core Banking Platform,3.8,1.9,21.3,True,Single Vendor,2024-06-02
POL-2020006,INS-10006,Back-Office/ERP,29.7,15.2,4.5,False,Multi-Vendor,2023-08-15
POL-2020006,INS-10006,Email & Productivity,19.7,13.1,3.0,False,None,2024-01-14
POL-2020006,INS-10006,Payment Processing,3.8,1.3,38.1,True,Multi-Vendor,2024-12-18
POL-2020006,INS-10006,Customer Digital Channels,14.7,3.1,14.6,False,Single Vendor,2024-04-07
POL-2020007,INS-10007,Payment Processing,4.2,1.5,26.7,True,Multi-Vendor,2024-02-16
POL-2020007,INS-10007,Customer Digital Channels,14.4,6.5,13.6,True,Single Vendor,2024-05-31
POL-2020007,INS-10007,Email & Productivity,36.3,10.2,2.4,True,None,2023-07-08
POL-2020007,INS-10007,Back-Office/ERP,22.3,7.4,5.5,False,Multi-Vendor,2023-03-30
POL-2020008,INS-10008,Trading/OMS,2.9,0.5,62.6,True,Single Vendor,2024-02-18
POL-2020008,INS-10008,Back-Office/ERP,30.0,6.6,3.5,True,Multi-Vendor,2024-01-06
POL-2020008,INS-10008,Market Data Infrastructure,2.9,2.0,15.9,True,None,2023-09-23
POL-2020008,INS-10008,Email & Productivity,46.4,15.3,2.8,True,None,2024-05-02
POL-2020008,INS-10008,Settlement & Clearing,5.4,1.6,22.4,True,None,2023-03-26
POL-2020009,INS-10009,Email & Productivity,43.8,8.9,2.9,True,Multi-Vendor,2023-10-09
POL-2020009,INS-10009,Back-Office/ERP,32.7,11.9,4.1,True,None,2023-01-06
POL-2020010,INS-10010,Core Banking Platform,5.0,1.3,40.2,False,Single Vendor,2024-06-05
POL-2020010,INS-10010,Back-Office/ERP,40.9,13.3,4.4,False,Single Vendor,2023-07-04
POL-2020010,INS-10010,Email & Productivity,48.0,21.6,2.4,True,Multi-Vendor,2024-06-08
POL-2020010,INS-10010,Payment Processing,3.8,1.1,28.9,True,None,2023-01-06
POL-2020010,INS-10010,Customer Digital Channels,14.4,6.8,25.6,True,Multi-Vendor,2024-02-26
POL-2020011,INS-10011,Email & Productivity,25.3,17.7,2.5,False,Multi-Vendor,2023-03-02
POL-2020011,INS-10011,Back-Office/ERP,20.2,12.7,3.6,False,None,2024-05-12
POL-2020012,INS-10012,Email & Productivity,37.6,18.5,3.7,True,None,2023-01-08
POL-2020012,INS-10012,Back-Office/ERP,21.2,13.7,7.0,False,None,2023-07-16
POL-2020013,INS-10013,Core Banking Platform,7.2,1.7,39.5,False,None,2023-05-05
POL-2020013,INS-10013,Back-Office/ERP,30.0,13.2,5.9,True,Multi-Vendor,2023-06-15
POL-2020013,INS-10013,Email & Productivity,36.5,20.8,2.9,True,None,2024-07-19
POL-2020013,INS-10013,Payment Processing,3.4,1.4,24.4,True,None,2024-07-23
POL-2020013,INS-10013,Customer Digital Channels,9.6,2.9,18.1,True,None,2024-07-02
POL-2020014,INS-10014,Payment Processing,7.0,1.4,18.2,True,Single Vendor,2023-06-09
POL-2020014,INS-10014,Customer Digital Channels,10.5,4.3,19.6,False,Single Vendor,2024-09-12
POL-2020014,INS-10014,Email & Productivity,29.4,22.9,1.9,False,Single Vendor,2023-02-02
POL-2020014,INS-10014,Back-Office/ERP,38.1,14.5,6.8,True,None,2023-02-09
POL-2020015,INS-10015,Core Banking Platform,3.7,1.4,22.2,True,Multi-Vendor,2023-10-02
POL-2020015,INS-10015,Back-Office/ERP,32.4,6.9,6.4,False,None,2023-08-22
POL-2020015,INS-10015,Email & Productivity,20.4,16.4,3.1,True,None,2024-12-22
POL-2020015,INS-10015,Payment Processing,7.9,1.6,24.9,True,None,2023-12-22
POL-2020015,INS-10015,Customer Digital Channels,8.1,3.5,24.1,False,Single Vendor,2023-07-18
POL-2020016,INS-10016,Trading/OMS,3.2,0.7,28.5,True,Single Vendor,2023-05-30
POL-2020016,INS-10016,Back-Office/ERP,40.6,12.3,6.9,True,Multi-Vendor,2024-06-27
POL-2020016,INS-10016,Market Data Infrastructure,2.9,1.1,13.6,True,None,2024-03-23
POL-2020016,INS-10016,Email & Productivity,22.3,19.7,3.5,True,Multi-Vendor,2024-12-18
POL-2020016,INS-10016,Settlement & Clearing,3.8,0.9,16.5,False,Single Vendor,2024-05-16
POL-2020017,INS-10017,Core Banking Platform,7.5,1.0,30.6,False,None,2024-09-05
POL-2020017,INS-10017,Back-Office/ERP,25.6,9.9,5.9,False,Multi-Vendor,2023-09-04
POL-2020017,INS-10017,Email & Productivity,44.0,11.2,3.4,True,Multi-Vendor,2023-01-18
POL-2020017,INS-10017,Payment Processing,4.6,2.0,25.2,False,None,2023-11-04
POL-2020017,INS-10017,Customer Digital Channels,5.7,5.5,14.4,True,Single Vendor,2024-12-30
POL-2020018,INS-10018,Payment Processing,3.0,1.6,35.6,False,None,2023-11-05
POL-2020018,INS-10018,Customer Digital Channels,10.4,6.3,20.6,True,Single Vendor,2023-05-10
POL-2020018,INS-10018,Email & Productivity,36.4,17.7,3.4,False,Multi-Vendor,2023-04-08
POL-2020018,INS-10018,Back-Office/ERP,23.0,8.4,4.8,False,Single Vendor,2023-10-22
POL-2020019,INS-10019,Trading/OMS,2.6,0.9,40.2,True,Single Vendor,2024-04-10
POL-2020019,INS-10019,Back-Office/ERP,21.9,8.2,3.9,True,Multi-Vendor,2023-05-12
