policy_id,sub_sector,primary_regulator,region,policy_year,revenue_mm,employees,assets_mm,limit_mm,retention_mm,premium_usd,has_trading_desk,processes_payments,custodial_aum_bn,core_banking_vendor,n_third_party_vendors,cloud_provider_primary,mfa_coverage_pct,edr_deployed,soc_24_7,control_maturity_nist,prior_incidents_3yr,had_claim,log_revenue,log_employees,control_gap,vendor_risk,retention_ratio,regulator_mismatch,strong_controls
POL-2020000,1,6,1,2020,952.6,3605,1249.8,2,0.076,691695,1,False,0.0,-1,41,3,90.5,1,1,3.7,0,0,6.860244296311086,8.190354403763262,1.2999999999999998,3.8949999999999987,0.038,0,1
POL-2020001,11,2,1,2021,731.3,1360,8982.5,10,0.244,1044220,0,True,0.0,3,23,3,57.0,1,1,3.0,0,1,6.596190266067024,7.215975002651466,2.0,9.89,0.024399999999999998,1,1
POL-2020002,2,6,3,2020,55.9,233,472.7,5,0.162,45292,0,True,0.0,2,20,2,91.3,1,1,4.9,0,0,4.041295341132285,5.455321115357702,0.09999999999999964,1.7400000000000015,0.0324,0,1
POL-2020003,10,1,2,2022,32761.7,80416,387471.7,250,4.757,419848548,0,True,0.0,6,39,0,87.2,1,0,2.9,0,1,10.397045952153281,11.294980875602253,2.1,4.992,0.019028,0,0
POL-2020004,1,6,0,2022,536.4,3274,687.6,15,0.265,1280636,1,False,0.0,-1,52,0,92.8,0,0,2.9,0,0,6.286742696181391,8.094073148069352,2.1,3.7440000000000033,0.017666666666666667,0,0
POL-2020005,10,3,3,2023,15002.7,55715,196644.0,100,1.899,103618007,0,True,0.0,3,64,2,79.6,1,0,2.6,0,0,9.616052116333794,10.928022637807922,2.4,13.056000000000004,0.01899,0,0
POL-2020006,11,4,4,2021,619.0,4629,5062.1,2,0.057,353381,0,True,0.0,4,10,3,88.7,1,1,3.5,1,1,6.429719478039138,8.440312147080279,1.5,1.13,0.0285,1,1
POL-2020007,6,0,4,2020,341.0,1149,892.1,1,0.025,226527,0,True,0.0,-1,68,2,67.5,1,0,3.4,0,0,5.834810737062605,7.047517221357296,1.6,22.099999999999998,0.025,0,0
POL-2020008,7,4,3,2022,271.1,936,737.8,10,0.242,600702,1,False,0.0,-1,33,1,85.4,1,1,2.9,1,0,5.6061696457892,6.842683282238422,2.1,4.817999999999997,0.0242,0,1
POL-2020009,8,4,2,2023,9806.1,42061,28681.8,50,1.068,45979230,0,False,0.0,-1,32,0,69.1,0,1,5.0,0,0,9.190861892138539,10.646899999243624,0.0,9.888000000000002,0.02136,0,0
POL-2020010,2,4,5,2023,69.0,311,1028.1,5,0.058,62766,0,True,0.0,4,61,3,62.8,0,1,2.4,0,0,4.248495242049359,5.7430031878094825,2.6,22.692,0.011600000000000001,0,0
