policy_id,insured_id,sub_sector,primary_regulator,region,inception_date,expiration_date,policy_year,revenue_mm,employees,assets_mm,limit_mm,retention_mm,premium_usd,has_trading_desk,processes_payments,custodial_aum_bn,core_banking_vendor,n_third_party_vendors,cloud_provider_primary,mfa_coverage_pct,edr_deployed,soc_24_7,control_maturity_nist,prior_incidents_3yr,n_claims,total_loss,bi_loss,n_findings,n_high_sev,n_med_sev,had_claim,log_revenue
POL-2020000,INS-10000,Broker-Dealer,SEC,National,2020-12-09,2021-12-09,2020,952.6,3605,1249.8,2,0.076,691695,True,False,0.0,,41,Hybrid,90.5,True,True,3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.860244296311086
POL-2020001,INS-10001,Regional Bank,FINRA,National,2021-04-17,2022-04-17,2021,731.3,1360,8982.5,10,0.244,1044220,False,True,0.0,In-House,23,Hybrid,57.0,True,True,3.0,0,1.0,27180.0,10139.0,0.0,0.0,0.0,1,6.596190266067024
POL-2020002,INS-10002,Community Bank,SEC,Southeast,2020-03-23,2021-03-23,2020,55.9,233,472.7,5,0.162,45292,False,True,0.0,Fiserv,20,GCP,91.3,True,True,4.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.041295341132285
POL-2020003,INS-10003,National Bank,FDIC,Northeast,2022-10-09,2023-10-09,2022,32761.7,80416,387471.7,250,4.757,419848548,False,True,0.0,Temenos,39,AWS,87.2,True,False,2.9,0,1.0,3621732.0,2025802.0,3.0,3.0,0.0,1,10.397045952153281
POL-2020004,INS-10004,Broker-Dealer,SEC,Midwest,2022-10-07,2023-10-07,2022,536.4,3274,687.6,15,0.265,1280636,True,False,0.0,,52,AWS,92.8,False,False,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.286742696181391
POL-2020005,INS-10005,National Bank,FRB,Southeast,2023-11-27,2024-11-26,2023,15002.7,55715,196644.0,100,1.899,103618007,False,True,0.0,In-House,64,GCP,79.6,True,False,2.6,0,0.0,0.0,0.0,3.0,0.0,3.0,0,9.616052116333794
POL-2020006,INS-10006,Regional Bank,NCUA,Southwest,2021-09-24,2022-09-24,2021,619.0,4629,5062.1,2,0.057,353381,False,True,0.0,Jack Henry,10,Hybrid,88.7,True,True,3.5,1,1.0,1123789.0,116934.0,0.0,0.0,0.0,1,6.429719478039138
POL-2020007,INS-10007,Fintech-Payments,CFPB,Southwest,2020-04-27,2021-04-27,2020,341.0,1149,892.1,1,0.025,226527,False,True,0.0,,68,GCP,67.5,True,False,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.834810737062605
POL-2020008,INS-10008,Hedge Fund,NCUA,Southeast,2022-04-21,2023-04-21,2022,271.1,936,737.8,10,0.242,600702,True,False,0.0,,33,Azure,85.4,True,True,2.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5.6061696457892
POL-2020009,INS-10009,Insurance Carrier,NCUA,Northeast,2023-10-13,2024-10-12,2023,9806.1,42061,28681.8,50,1.068,45979230,False,False,0.0,,32,AWS,69.1,False,True,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.190861892138539
