policy_id,insured_id,sub_sector,primary_regulator,region,policy_year,cloud_provider_primary,core_banking_vendor,premium_usd,n_claims,had_claim,total_loss,bi_loss,log_revenue,exposure_size_score,cyber_control_score,control_gap_score,vendor_control_pressure,vendor_pressure_band,regulatory_findings_pressure,high_sev_rate,critical_operations_score,payment_trading_flag,coverage_structure_score,limit_to_revenue,retention_ratio,prior_incident_score,repeat_offender,hybrid_cloud_flag,core_banking_vendor_missing,exposure_years,loss_ratio,bi_share_of_loss,limit_mm,retention_mm
POL-2020000,INS-10000,Broker-Dealer,SEC,National,2020,Hybrid,Unknown,691695,0.0,0,0.0,0.0,6.860244296311086,0.1150437358032848,0.8722500000000001,0.12774999999999992,10.789473684210526,Moderate,0.0,0.0,1,0,-0.6595694776587759,0.0020995171110644553,0.038,0.0,0,1,1,0.999315537303217,0.0,0.0,2,0.076
POL-2020001,INS-10001,Regional Bank,FINRA,National,2021,Hybrid,In-House,1044220,1.0,1,27180.0,10139.0,6.596190266067024,0.21235007535863162,0.7325,0.26749999999999996,7.419354838709677,Low,0.0,0.0,1,0,-0.1217138011359663,0.013674278681799537,0.024399999999999998,0.0,0,1,0,0.999315537303217,0.026028997720786807,0.3730316409124356,10,0.244
POL-2020002,INS-10002,Community Bank,SEC,Southeast,2020,GCP,Fiserv,45292,0.0,0,0.0,0.0,4.041295341132285,-1.1294771419069105,0.9702500000000002,0.029749999999999832,4.0,Low,0.0,0.0,1,0,-0.40946737934311983,0.08944543828264759,0.0324,0.0,0,0,0,0.999315537303217,0.0,0.0,5,0.162
POL-2020003,INS-10003,National Bank,FDIC,Northeast,2022,AWS,Temenos,419848548,1.0,1,3621732.0,2025802.0,10.397045952153281,2.382212122198301,0.6499999999999999,0.3500000000000001,13.0,Moderate,3.8123094930796992,0.75,1,0,0.5640550833998335,0.007630861646373662,0.019028,0.0,0,0,0,0.999315537303217,0.008626282065884387,0.5593461912698123,250,4.757
POL-2020004,INS-10004,Broker-Dealer,SEC,Midwest,2022,AWS,Unknown,1280636,0.0,0,0.0,0.0,6.286742696181391,-0.11842408018145056,0.46399999999999997,0.536,17.333333333333332,High,0.0,0.0,1,0,0.09595234152759441,0.027964205816554812,0.017666666666666667,0.0,0,0,1,0.999315537303217,0.0,0.0,15,0.265
POL-2020005,INS-10005,National Bank,FRB,Southeast,2023,GCP,In-House,103618007,0.0,0,0.0,0.0,9.616052116333794,2.0422512792606065,0.607,0.393,23.703703703703702,Extreme,1.7230483663419307,0.0,1,0,0.4000886352350985,0.006665466882627793,0.01899,0.0,0,0,0,0.999315537303217,0.0,0.0,100,1.899
POL-2020006,INS-10006,Regional Bank,NCUA,Southwest,2021,Hybrid,Jack Henry,353381,1.0,1,1123789.0,116934.0,6.429719478039138,0.31498361572487105,0.8517499999999999,0.1482500000000001,2.7777777777777777,Low,0.0,0.0,1,0,-0.4481765092564619,0.0032310177705977385,0.0285,0.6931471805599453,0,1,0,0.999315537303217,3.1801058913750313,0.10405334097415084,2,0.057
POL-2020007,INS-10007,Fintech-Payments,CFPB,Southwest,2020,GCP,Unknown,226527,0.0,0,0.0,0.0,5.834810737062605,-0.3630519149019205,0.6407499999999999,0.35925000000000007,19.428571428571427,High,0.0,0.0,1,0,-0.44370271473075207,0.002932551319648094,0.025,0.0,0,0,1,0.999315537303217,0.0,0.0,1,0.025
POL-2020008,INS-10008,Hedge Fund,NCUA,Southeast,2022,Azure,Unknown,600702,0.0,0,0.0,0.0,5.6061696457892,-0.47961163442118737,0.7955,0.20450000000000002,11.0,Moderate,0.0,0.0,1,0,-0.11726342285381236,0.03688675765400221,0.0242,0.6931471805599453,0,0,1,0.999315537303217,0.0,0.0,10,0.242
POL-2020009,INS-10009,Insurance Carrier,NCUA,Northeast,2023,AWS,Unknown,45979230,0.0,0,0.0,0.0,9.190861892138539,1.5771992529790044,0.72275,0.27725,6.274509803921569,Low,0.0,0.0,0,0,0.22364386478168496,0.005098867031745546,0.02136,0.0,0,0,1,0.999315537303217,0.0,0.0,50,1.068
POL-2020010,INS-10010,Community Bank,NCUA,West,2023,Hybrid,Jack Henry,62766,0.0,0,0.0,0.0,4.248495242049359,-0.901744931008064,0.499,0.501,24.4,Extreme,0.6931471805599453,0.0,1,0,0.05337196200089431,0.07246376811594203,0.011600000000000001,0.0,0,1,0,0.999315537303217,0.0,0.0,5,0.058
POL-2020011,INS-10011,Insurance Carrier,FDIC,Midwest,2024,On-Prem,Unknown,9828117,0.0,0,0.0,0.0,8.411388132519262,1.1971008500377982,0.8555,0.14449999999999996,37.94117647058824,Extreme,0.0,0.0,0,0,0.28731860766021566,0.00333555703802535,0.009066666666666667,0.0,0,0,1,0.999315537303217,0.0,0.0,15,0.136
POL-2020012,INS-10012,Insurance Carrier,FDIC,National,2022,GCP,Unknown,934284,0.0,0,0.0,0.0,7.507964463882813,0.6477392033207507,0.9082500000000001,0.09174999999999989,5.333333333333333,Low,0.6931471805599453,0.0,0,0,-0.8598365003557052,0.0010979961570134504,0.047,0.0,0,0,1,0.999315537303217,0.0,0.0,2,0.094
POL-2020013,INS-10013,Community Bank,OCC,West,2022,On-Prem,Jack Henry,472877,1.0,1,3559508.0,1638723.0,4.516338972281476,-0.7368155180168889,0.6200000000000001,0.3799999999999999,20.0,High,0.0,0.0,1,0,0.3718287331434208,1.1049723756906078,0.020259999999999997,0.0,0,0,0,0.999315537303217,7.5273443199817285,0.46037907486090773,100,2.026
POL-2020014,INS-10014,Fintech-Lending,SEC,Northeast,2022,AWS,Unknown,482388,0.0,0,0.0,0.0,6.478202375344883,0.05241464076283516,0.639,0.361,4.864864864864865,Low,0.0,0.0,0,0,-0.5816878577210813,0.0030778701138811943,0.0345,0.0,0,0,1,0.999315537303217,0.0,0.0,2,0.069
POL-2020015,INS-10015,Custodian Bank,FRB,West,2024,Hybrid,Other,25749272,0.0,0,0.0,0.0,8.716699572964293,1.5024029081169645,0.7615,0.23850000000000005,11.25,Moderate,1.3265743385667426,0.0,1,0,0.32199722481728804,0.008192692118630182,0.01694,0.0,0,1,0,0.999315537303217,0.0,0.0,50,0.847
POL-2020016,INS-10016,Asset Manager,CFPB,West,2021,On-Prem,Unknown,1883463,0.0,0,0.0,0.0,7.383119514469969,0.4667817304333361,0.7254999999999999,0.2745000000000001,15.26315789473684,High,0.0,0.0,2,0,-0.7432457505046686,0.0031102264244837028,0.0474,0.0,0,0,1,0.999315537303217,0.0,0.0,5,0.237
POL-2020017,INS-10017,Community Bank,OCC,Northeast,2024,AWS,In-House,130069,0.0,0,0.0,0.0,4.489759334476764,-0.9202086950510772,0.5670000000000001,0.43299999999999994,16.956521739130434,High,0.0,0.0,1,0,-0.6268317361604433,0.11350737797956868,0.047099999999999996,0.6931471805599453,0,0,0,0.999315537303217,0.0,0.0,10,0.471
POL-2020018,INS-10018,Fintech-Lending,CFPB,Southeast,2020,Hybrid,Unknown,187317,0.0,0,0.0,0.0,4.789988622980633,-0.810138713543811,0.742,0.258,11.904761904761907,Moderate,0.0,0.0,0,0,-0.09349052131018712,0.041911148365465216,0.0182,0.6931471805599453,0,1,1,0.999315537303217,0.0,0.0,5,0.091
POL-2020019,INS-10019,Hedge Fund,State,Northeast,2023,On-Prem,Unknown,334556,0.0,0,0.0,0.0,5.297817241506355,-0.7005840020492275,0.90725,0.09275,1.627906976744186,Low,0.0,0.0,1,0,-0.26857628444704773,0.05027652086475616,0.031,0.0,0,0,1,0.999315537303217,0.0,0.0,10,0.31
POL-2020020,INS-10020,Fintech-Lending,State,Northeast,2020,On-Prem,Unknown,1760339,1.0,1,11190.0,1093.0,4.935193098929397,-0.9286659689230504,0.71875,0.28125,63.714285714285715,Extreme,0.0,0.0,0,0,0.2524395960834116,1.8102824040550327,0.033032,0.0,0,0,1,0.999315537303217,0.006356730152544481,0.09767649687220732,250,8.258
POL-2020021,INS-10021,Regional Bank,State,Southeast,2021,On-Prem,Jack Henry,461743,0.0,0,0.0,0.0,5.976604684200958,0.02323621693012305,0.6385000000000001,0.36149999999999993,6.296296296296296,Low,0.0,0.0,1,0,0.17353217561905188,0.012719409819384379,0.0062,0.6931471805599453,0,0,0,0.999315537303217,0.0,0.0,5,0.031
POL-2020022,INS-10022,Asset Manager,OCC,Southeast,2024,Azure,Unknown,2091437,0.0,0,0.0,0.0,7.023491777464733,0.45314775971233506,0.61925,0.38075000000000003,20.0,High,0.0,0.0,1,0,-0.23485911077918487,0.01337255950788981,0.03253333333333333,0.0,0,0,1,0.999315537303217,0.0,0.0,15,0.488
POL-2020023,INS-10023,Fintech-Lending,CFPB,Midwest,2020,On-Prem,Unknown,64877,0.0,0,0.0,0.0,4.751000634199631,-1.2371362160493906,0.626,0.374,4.583333333333334,Low,1.2817143367794614,0.0,0,0,-0.6217178460169114,0.008718395815170008,0.033,0.0,0,0,1,0.999315537303217,0.0,0.0,1,0.033
POL-2020024,INS-10024,Insurance Carrier,FINRA,Midwest,2024,Azure,Unknown,7379924,0.0,0,0.0,0.0,8.336558211551488,1.0190000769476935,0.63825,0.36175,10.625,Moderate,0.0,0.0,0,0,-0.27747704101135573,0.0023965298248136697,0.0314,1.0986122886681098,1,0,1,0.999315537303217,0.0,0.0,10,0.314
POL-2020025,INS-10025,Hedge Fund,FRB,West,2022,AWS,Unknown,1005581,0.0,0,0.0,0.0,6.111689044414351,-0.36816250784130017,0.6375000000000001,0.36249999999999993,9.51219512195122,Moderate,0.0,0.0,1,0,-0.010454344082116818,0.02221728504776716,0.0194,0.6931471805599453,0,0,1,0.999315537303217,0.0,0.0,10,0.194
POL-2020026,INS-10026,Regional Bank,FINRA,West,2021,AWS,Finastra,5142654,0.0,0,0.0,0.0,6.635290172335217,0.35001265289942957,0.9365,0.0635,4.468085106382979,Low,0.0,0.0,1,0,-0.04027629578403813,0.13149243918474687,0.03878,0.6931471805599453,0,0,0,0.999315537303217,0.0,0.0,100,3.878
POL-2020027,INS-10027,Hedge Fund,CFPB,Southwest,2024,Azure,Unknown,173485,0.0,0,0.0,0.0,5.496758305221874,-0.5077120801482785,0.76275,0.23724999999999996,26.538461538461537,Extreme,0.0,0.0,1,0,-0.7485770433018557,0.008233841086867023,0.042,0.0,0,0,1,0.999315537303217,0.0,0.0,2,0.084
POL-2020028,INS-10028,Community Bank,FDIC,Northeast,2020,Azure,Finastra,413549,0.0,0,0.0,0.0,5.608738925969307,-0.08613299125912956,0.9055000000000001,0.09449999999999992,2.8571428571428577,Low,0.0,0.0,1,0,-0.4443662265921302,0.03679175864606328,0.038900000000000004,0.0,0,0,0,0.999315537303217,0.0,0.0,10,0.389
POL-2020029,INS-10029,Community Bank,NCUA,West,2020,GCP,In-House,55535,0.0,0,0.0,0.0,4.275276264727001,-0.887383960879652,0.543,0.45699999999999996,49.0,Extreme,2.3272416587300166,0.25,1,0,0.09787574482243415,0.0705218617771509,0.009600000000000001,1.3862943611198906,1,0,0,0.999315537303217,0.0,0.0,5,0.048
POL-2020030,INS-10030,Broker-Dealer,SEC,Southeast,2020,GCP,Unknown,571877,0.0,0,0.0,0.0,5.719983853994209,-0.5084873888958681,0.89525,0.10475000000000001,6.136363636363637,Low,0.6931471805599453,0.0,0,0,-0.46884330714397704,0.032905561039815734,0.04,0.0,0,0,1,0.999315537303217,0.0,0.0,10,0.4
POL-2020031,INS-10031,Hedge Fund,CFPB,National,2022,GCP,Unknown,430268,0.0,0,0.0,0.0,6.22098770538623,-0.22331737010724861,0.81425,0.18574999999999997,12.162162162162161,Moderate,0.7875884839112379,0.0,1,0,-0.21453164944337763,0.003982477100756671,0.018,0.0,0,0,1,0.999315537303217,0.0,0.0,2,0.036
