policy_id,sub_sector,region,policy_year,premium_usd,had_claim,n_claims,total_loss,bi_loss,log_revenue,cyber_control_score,vendor_control_pressure,prior_incident_score,limit_mm,retention_mm,predicted_claim_probability,expected_claim_frequency,expected_claim_severity,pure_premium,technical_premium_template,premium_gap,indicated_to_current_ratio,actual_loss_ratio,simulated_VaR_95,simulated_VaR_99,risk_adjusted_technical_premium
POL-2020000,Broker-Dealer,National,2020,691695,0,0.0,0.0,0.0,6.860244296311086,0.8722500000000001,10.789473684210526,0.0,2,0.076,0.12212,0.12203,3815183.06,465578.36,1034618.57,342923.57,1.49577,0.0,2000000.0,2505029.974312597,1159870.0687156299
POL-2020001,Regional Bank,National,2021,1044220,1,1.0,27180.0,10139.0,6.596190266067024,0.7325,7.419354838709677,0.0,10,0.244,0.17483,0.17471,3212052.27,561170.04,1247044.53,202824.53,1.19424,0.02603,3851661.138801718,7589026.1051494405,1626495.835257472
POL-2020002,Community Bank,Southeast,2020,45292,0,0.0,0.0,0.0,4.041295341132285,0.9702500000000002,4.0,0.0,5,0.162,0.06731,0.06727,1714056.63,115302.51,256227.79,210935.79,5.65724,0.0,366147.07270659157,3350460.987886403,423750.83939432015
POL-2020003,National Bank,Northeast,2022,419848548,1,1.0,3621732.0,2025802.0,10.397045952153281,0.6499999999999999,13.0,0.0,250,4.757,0.20352,0.20338,3041238.04,618533.37,1374518.6,-418474029.4,0.00327,0.00863,4506828.425174381,7678547.790687335,1758445.9895343669
POL-2020004,Broker-Dealer,Midwest,2022,1280636,0,0.0,0.0,0.0,6.286742696181391,0.46399999999999997,17.333333333333332,0.0,15,0.265,0.13703,0.13694,1531121.82,209664.85,465921.88,-814714.12,0.36382,0.0,1521944.954690824,3525434.0211369,642193.581056845
POL-2020005,National Bank,Southeast,2023,103618007,0,0.0,0.0,0.0,9.616052116333794,0.607,23.703703703703702,0.0,100,1.899,0.14789,0.14779,3342935.08,494050.42,1097889.82,-102520117.18,0.0106,0.0,2583187.510736283,7214888.778938243,1458634.2589469124
POL-2020006,Regional Bank,Southwest,2021,353381,1,1.0,1123789.0,116934.0,6.429719478039138,0.8517499999999999,2.7777777777777777,0.6931471805599453,2,0.057,0.14545,0.14535,1811076.86,263247.54,584994.53,231613.53,1.65542,3.18011,1719353.9860824891,2000000.0,684994.53
POL-2020007,Fintech-Payments,Southwest,2020,226527,0,0.0,0.0,0.0,5.834810737062605,0.6407499999999999,19.428571428571427,0.0,1,0.025,0.17226,0.17214,1348776.82,232184.04,515964.53,289437.53,2.27772,0.0,1000000.0,1000000.0,565964.53
POL-2020008,Hedge Fund,Southeast,2022,600702,0,0.0,0.0,0.0,5.6061696457892,0.7955,11.0,0.6931471805599453,10,0.242,0.17638,0.17626,276636.54,48759.71,108354.92,-492347.08,0.18038,0.0,296568.55788131553,728874.3070150845,144798.63535075422
POL-2020009,Insurance Carrier,Northeast,2023,45979230,0,0.0,0.0,0.0,9.190861892138539,0.72275,6.274509803921569,0.0,50,1.068,0.1393,0.1392,1946458.89,270953.51,602118.91,-45377111.09,0.0131,0.0,2093287.3832959677,4853732.74101842,844805.547050921
POL-2020010,Community Bank,West,2023,62766,0,0.0,0.0,0.0,4.248495242049359,0.499,24.4,0.0,5,0.058,0.28509,0.28489,1005916.69,286579.7,636843.77,574077.77,10.14632,0.0,1784472.5618652324,3445186.940266829,809103.1170133415
